Date,Day,Daily,Cummulative,discharged,death,icu
24/1/2020,1,3,0,0,0,0
25/1/2020,2,3,3,0,0,0
26/1/2020,3,1,4,0,0,0
27/1/2020,4,0,4,0,0,0
28/1/2020,5,0,4,0,0,0
29/1/2020,6,3,7,0,0,0
30/1/2020,7,1,8,0,0,0
31/1/2020,8,0,8,0,0,0
1/2/2020,9,0,8,0,0,0
2/2/2020,10,0,8,0,0,0
3/2/2020,11,0,8,0,0,0
4/2/2020,12,2,10,0,0,0
5/2/2020,13,2,12,1,0,0
6/2/2020,14,0,12,1,0,0
7/2/2020,15,0,12,1,0,0
8/2/2020,16,4,16,2,0,0
9/2/2020,17,0,16,3,0,0
10/2/2020,18,2,18,3,0,0
11/2/2020,19,0,18,3,0,0
12/2/2020,20,0,18,3,0,0
13/2/2020,21,1,19,3,0,0
14/2/2020,22,0,19,7,0,0
15/2/2020,23,3,22,7,0,0
16/2/2020,24,0,22,8,0,0
17/2/2020,25,0,22,9,0,0
18/2/2020,26,0,22,11,0,0
19/2/2020,27,0,22,15,0,0
20/2/2020,28,0,22,17,0,0
21/2/2020,29,0,22,17,0,0
22/2/2020,30,0,22,17,0,0
23/2/2020,31,0,22,18,0,0
24/2/2020,32,0,22,20,0,0
25/2/2020,33,0,22,20,0,0
26/2/2020,34,0,22,20,0,0
27/2/2020,35,1,23,22,0,0
28/2/2020,36,0,23,22,0,0
29/2/2020,37,2,25,22,0,0
1/3/2020,38,4,29,22,0,0
2/3/2020,39,0,29,22,0,0
3/3/2020,40,7,36,22,0,0
4/3/2020,41,14,50,22,0,0
5/3/2020,42,0,50,22,0,0
6/3/2020,43,33,83,22,0,0
7/3/2020,44,10,93,23,0,0
8/3/2020,45,6,99,24,0,2
9/3/2020,46,18,117,24,0,2
10/3/2020,47,12,129,25,0,2
11/3/2020,48,20,149,26,0,2
12/3/2020,49,0,149,32,0,3
13/3/2020,50,48,197,32,0,4
14/3/2020,51,41,238,35,0,5
15/3/2020,52,190,428,42,0,9
16/3/2020,53,138,566,42,0,12
17/3/2020,54,107,673,49,2,12
18/3/2020,55,117,790,60,2,15
19/3/2020,56,110,900,75,2,20
20/3/2020,57,130,1030,87,2,26
21/3/2020,58,153,1183,114,4,37
22/3/2020,59,123,1306,139,10,46
23/3/2020,60,212,1518,159,14,57
24/3/2020,61,106,1624,183,16,64
25/3/2020,62,172,1796,199,19,45
26/3/2020,63,235,2031,215,23,45
27/3/2020,64,130,2161,259,26,54
28/3/2020,65,159,2320,320,27,73
29/3/2020,66,150,2470,388,34,73
30/3/2020,67,156,2626,479,37,94
31/3/2020,68,140,2766,537,43,94
1/4/2020,69,142,2908,645,45,102
2/4/2020,70,208,3116,767,50,105
3/4/2020,71,217,3333,827,53,108
4/4/2020,72,150,3483,915,57,99
5/4/2020,73,179,3662,1005,61,99
6/4/2020,74,131,3793,1241,62,102
7/4/2020,75,170,3963,1321,63,92
8/4/2020,76,156,4119,1487,65,76
9/4/2020,77,109,4228,1608,67,72
10/4/2020,78,118,4346,1830,70,69
11/4/2020,79,184,4530,1995,73,72
12/4/2020,80,153,4683,2108,76,66
13/4/2020,81,134,4817,2276,77,66
14/4/2020,82,170,4987,2478,82,60
15/4/2020,83,85,5072,2647,83,56
16/4/2020,84,110,5182,2766,84,56
17/4/2020,85,69,5251,2967,86,51
18/4/2020,86,54,5305,3102,88,49
19/4/2020,87,84,5389,3197,89,46
20/4/2020,88,36,5425,3295,89,45
21/4/2020,89,57,5482,3349,92,43
22/4/2020,90,50,5532,3452,93,43
23/4/2020,91,71,5603,3542,95,42
24/4/2020,92,88,5691,3663,96,41
25/4/2020,93,51,5742,3762,98,36
26/4/2020,94,38,5780,3862,98,36
27/4/2020,95,40,5820,3957,99,37
28/4/2020,96,31,5851,4032,100,36
29/4/2020,97,94,5945,4087,100,40
30/4/2020,98,57,6002,4171,102,36
1/5/2020,99,69,6071,4210,103,37
2/5/2020,100,105,6176,4326,103,31
3/5/2020,101,122,6298,4413,105,27
4/5/2020,102,55,6353,4484,105,28
5/5/2020,103,30,6383,4567,106,24
6/5/2020,104,45,6428,4702,107,22
7/5/2020,105,39,6467,4776,107,19
8/5/2020,106,68,6535,4864,107,18
9/5/2020,107,54,6589,4929,108,18
10/5/2020,108,67,6656,5025,108,18
11/5/2020,109,70,6726,5113,109,20
12/5/2020,110,16,6742,5223,109,16
13/5/2020,111,37,6779,5281,111,16
14/5/2020,112,40,6819,5351,112,16
15/5/2020,113,36,6855,5439,112,14
16/5/2020,114,17,6872,5512,113,13
17/5/2020,115,22,6894,5571,113,13
18/5/2020,116,47,6941,5615,113,13
19/5/2020,117,37,6978,5646,114,11
20/5/2020,118,31,7009,5706,114,11
21/5/2020,119,50,7059,5796,114,10
22/5/2020,120,78,7137,5859,115,9
23/5/2020,121,48,7185,5912,115,9
24/5/2020,122,60,7245,5945,115,9
25/5/2020,123,172,7417,5979,115,8
26/5/2020,124,187,7604,6041,115,8
27/5/2020,125,15,7619,6083,115,8
28/5/2020,126,10,7629,6169,115,8
29/5/2020,127,103,7732,6235,115,8
30/5/2020,128,30,7762,6330,115,9
31/5/2020,129,57,7819,6353,115,9
1/6/2020,130,38,7857,6404,115,8
2/6/2020,131,20,7877,6470,115,6
3/6/2020,132,93,7970,6531,115,6
4/6/2020,133,277,8247,6559,115,6
5/6/2020,134,19,8266,6610,116,6
6/6/2020,135,37,8303,6610,116,6
7/6/2020,136,19,8322,6674,117,5
8/6/2020,137,7,8329,6694,117,6
9/6/2020,138,7,8336,6975,117,6
10/6/2020,139,2,8338,7014,118,5
11/6/2020,140,31,8369,7065,118,5
12/6/2020,141,33,8402,7168,119,4
13/6/2020,142,43,8445,7311,120,4
14/6/2020,143,8,8453,7346,121,4
15/6/2020,144,41,8494,7400,121,4
16/6/2020,145,11,8505,7733,121,4
17/6/2020,146,10,8515,7873,121,4
18/6/2020,147,14,8529,8000,121,4
19/6/2020,148,6,8535,8070,121,3
20/6/2020,149,21,8556,8146,121,3
21/6/2020,150,16,8572,8156,121,3
22/6/2020,151,15,8587,8177,121,3
23/6/2020,152,3,8590,8186,121,3
24/6/2020,153,6,8596,8231,121,2
25/6/2020,154,4,8600,8271,121,2
26/6/2020,155,6,8606,8294,121,2
27/6/2020,156,10,8616,8308,121,2
28/6/2020,157,18,8634,8318,121,2
29/6/2020,158,3,8637,8334,121,4
30/6/2020,159,2,8639,8354,121,4
1/7/2020,160,1,8640,8375,121,4
2/7/2020,161,3,8643,8437,121,2
3/7/2020,162,5,8648,8446,121,2
4/7/2020,163,10,8658,8461,121,2
5/7/2020,164,5,8663,8465,121,2
6/7/2020,165,5,8668,8476,121,2
7/7/2020,166,6,8674,8481,121,2
8/7/2020,167,3,8677,8486,121,2
9/7/2020,168,6,8683,8499,121,2
10/7/2020,169,13,8696,8511,121,2
11/7/2020,170,8,8704,8515,122,2
12/7/2020,171,14,8718,8519,122,3
13/7/2020,172,7,8725,8520,122,4
14/7/2020,173,4,8729,8524,122,6
15/7/2020,174,5,8734,8526,122,5
16/7/2020,175,3,8737,8538,122,3
17/7/2020,176,18,8755,8541,122,3
18/7/2020,177,9,8764,8546,122,1
19/7/2020,178,15,8779,8553,123,2
20/7/2020,179,21,8800,8555,123,3
21/7/2020,180,15,8815,8562,123,4
22/7/2020,181,16,8831,8566,123,5
23/7/2020,182,9,8840,8574,123,5
24/7/2020,183,21,8861,8577,123,5
25/7/2020,184,23,8884,8594,123,3
26/7/2020,185,13,8897,8600,124,2
27/7/2020,186,7,8904,8601,124,0
28/7/2020,187,39,8943,8607,124,1
29/7/2020,188,13,8956,8612,124,2
30/7/2020,189,8,8964,8617,124,3
31/7/2020,190,12,8976,8644,125,3
1/8/2020,191,9,8985,8647,125,2
2/8/2020,192,14,8999,8664,125,2
3/8/2020,193,2,9001,8668,125,1
4/8/2020,194,1,9002,8684,125,0
5/8/2020,195,21,9023,8702,125,2
6/8/2020,196,15,9038,8713,125,2
7/8/2020,197,25,9063,8728,125,2
8/8/2020,198,7,9070,8775,125,2
9/8/2020,199,13,9083,8784,125,1
10/8/2020,200,11,9094,8803,125,1
11/8/2020,201,9,9103,8809,125,2
12/8/2020,202,11,9114,8817,125,1
13/8/2020,203,15,9129,8821,125,2
14/8/2020,204,20,9149,8828,125,4
15/8/2020,205,26,9175,8831,125,6
16/8/2020,206,25,9200,8859,125,7
17/8/2020,207,12,9212,8876,125,8
18/8/2020,208,7,9219,8902,125,8
19/8/2020,209,16,9235,8925,125,7
20/8/2020,210,5,9240,8932,125,7
21/8/2020,211,9,9249,8945,125,7
22/8/2020,212,8,9257,8949,125,8
23/8/2020,213,10,9267,8959,125,9
24/8/2020,214,7,9274,8965,125,8
25/8/2020,215,11,9285,8971,125,8
26/8/2020,216,6,9291,8978,125,9
27/8/2020,217,5,9296,8994,125,8
28/8/2020,218,10,9306,9030,125,8
29/8/2020,219,11,9317,9038,125,8
30/8/2020,220,17,9334,9048,126,7
31/8/2020,221,6,9340,9054,127,6
1/9/2020,222,14,9354,9075,128,5
2/9/2020,223,6,9360,9079,128,4
3/9/2020,224,14,9374,9083,128,4
4/9/2020,225,11,9385,9092,128,4
5/9/2020,226,6,9391,9113,128,5
6/9/2020,227,6,9397,9115,128,6
7/9/2020,228,62,9459,9124,128,6
8/9/2020,229,100,9559,9136,128,7
9/9/2020,230,24,9583,9143,128,7
10/9/2020,231,45,9628,9167,128,9
11/9/2020,232,182,9810,9181,128,9
12/9/2020,233,58,9868,9189,128,9
13/9/2020,234,47,9915,9196,128,9
14/9/2020,235,31,9946,9203,128,11
15/9/2020,236,23,9969,9209,128,14
16/9/2020,237,62,10031,9235,128,15
17/9/2020,238,21,10052,9250,128,13
18/9/2020,239,95,10147,9264,129,11
19/9/2020,240,20,10167,9315,130,12
20/9/2020,241,52,10219,9355,130,10
21/9/2020,242,57,10276,9395,130,9
22/9/2020,243,82,10358,9563,130,9
23/9/2020,244,147,10505,9602,133,8
24/9/2020,245,71,10576,9666,133,6
25/9/2020,246,111,10687,9696,133,4
26/9/2020,247,82,10769,9785,133,8
27/9/2020,248,150,10919,9835,134,6
28/9/2020,249,115,11034,9889,134,8
29/9/2020,250,101,11135,9939,134,13
30/9/2020,251,89,11224,9967,136,16
1/10/2020,252,260,11484,10014,136,20
2/10/2020,253,287,11771,10095,136,22
3/10/2020,254,317,12088,10216,137,29
4/10/2020,255,293,12381,10283,137,28
5/10/2020,256,432,12813,10340,137,32
6/10/2020,257,691,13504,10427,141,31
7/10/2020,258,489,13993,10501,141,40
8/10/2020,259,375,14368,10519,146,60
9/10/2020,260,354,14722,10707,152,68
10/10/2020,261,374,15096,10780,155,73
11/10/2020,262,561,15657,10913,157,90
12/10/2020,263,563,16220,11022,159,98
13/10/2020,264,660,16880,11372,163,101
14/10/2020,265,660,17540,11605,167,108
15/10/2020,266,589,18129,12014,170,103
16/10/2020,267,629,18758,12259,176,99
17/10/2020,268,869,19627,12561,180,91
18/10/2020,269,871,20498,13262,187,86
19/10/2020,270,865,21363,13717,190,99
20/10/2020,271,862,22225,14351,193,95
21/10/2020,272,732,22957,14931,199,102
22/10/2020,273,847,23804,15417,204,90
23/10/2020,274,710,24514,15884,214,90
24/10/2020,275,1228,25742,16555,221,92
25/10/2020,276,823,26565,17134,229,99
26/10/2020,277,1240,27805,17825,236,94
27/10/2020,278,835,28640,18499,238,89
28/10/2020,279,801,29441,19072,246,94
29/10/2020,280,649,30090,19757,246,106
30/10/2020,281,799,30889,20248,249,90
31/10/2020,282,659,31548,21248,249,83
1/11/2020,283,957,32505,22220,249,97
2/11/2020,284,834,33339,23120,251,91
3/11/2020,285,1054,34393,23995,263,94
4/11/2020,286,1032,35425,24815,271,82
5/11/2020,287,1009,36434,25654,277,78
6/11/2020,288,1755,38189,26380,279,83
7/11/2020,289,1168,39357,27409,282,87
8/11/2020,290,852,40209,28234,286,94
9/11/2020,291,972,41181,29579,294,86
10/11/2020,292,869,42050,30304,300,82
11/11/2020,293,822,42872,31073,302,86
12/11/2020,294,919,43791,32069,303,92
13/11/2020,295,1304,45095,32969,304,96
14/11/2020,296,1114,46209,33772,306,103
15/11/2020,297,1208,47417,34785,309,104
16/11/2020,298,1103,48520,35606,313,102
17/11/2020,299,1210,49730,36624,318,105
18/11/2020,300,660,50390,37254,322,103
19/11/2020,301,1290,51680,38132,326,110
20/11/2020,302,958,52638,39088,329,110
21/11/2020,303,1041,53679,40493,332,108
22/11/2020,304,1096,54775,41597,335,106
23/11/2020,305,1884,56659,42480,337,115
24/11/2020,306,2188,58847,44153,341,112
25/11/2020,307,970,59817,46501,345,110
26/11/2020,308,935,60752,49056,348,110
27/11/2020,309,1109,61861,50204,350,113
28/11/2020,310,1315,63176,51314,354,118
29/11/2020,311,1309,64485,52647,357,116
30/11/2020,312,1212,65697,54759,360,113
1/12/2020,313,1472,67169,56311,363,120
2/12/2020,314,851,68020,56969,365,122
3/12/2020,315,1075,69095,57917,376,116
4/12/2020,316,1141,70236,59061,376,129
5/12/2020,317,1123,71359,60204,380,130
6/12/2020,318,1335,72694,61273,382,126
7/12/2020,319,1600,74294,62306,384,129
8/12/2020,320,1012,75306,64056,388,126
9/12/2020,321,959,76265,65124,393,127
10/12/2020,322,2234,78499,66236,396,274
11/12/2020,323,1810,80309,67173,402,123
12/12/2020,324,1937,82246,68084,411,121
13/12/2020,325,1229,83475,69393,415,115
14/12/2020,326,1371,84846,70597,419,114
15/12/2020,327,1772,86618,71681,422,118
16/12/2020,328,1295,87913,72733,429,113
17/12/2020,329,1220,89133,74030,432,106
18/12/2020,330,1683,90816,75244,432,106
19/12/2020,331,1153,91969,76242,433,112
20/12/2020,332,1340,93309,77309,437,116
21/12/2020,333,2018,95327,78393,438,109
22/12/2020,334,2062,97389,79304,439,111
23/12/2020,335,1348,98737,80014,444,102
24/12/2020,336,1581,100318,81099,446,102
25/12/2020,337,1247,101565,82540,449,108
26/12/2020,338,2335,103900,83414,451,108
27/12/2020,339,1196,105096,84411,452,111
28/12/2020,340,1594,106690,85592,455,116
29/12/2020,341,1925,108615,86715,457,117
30/12/2020,342,1870,110485,87460,463,131
31/12/2020,343,2525,113010,88941,471,131
1/1/2021,344,2068,115078,91171,474,126
2/1/2021,345,2295,117373,94492,483,125
3/1/2021,346,1704,119077,97218,494,124
4/1/2021,347,1741,120818,98228,501,122
5/1/2021,348,2027,122845,99449,509,123
6/1/2021,349,2593,125438,100578,513,141
